Time (s),P2 - LOX Tank Pressure,P3 - Fuel Tank Pressure,P1 - Chamber Pressure,Not Used,P5- DOME Reg.,Not Use,P4- High Pressure Tank,P7 - Gnd High Pressure,P6 - GHE Fill Pressure,P8 - Pneumatics Pressure,Not Used,Not Used,Not Used,Not Used,Not Used,Not Used,QD Sep Indication,Lift Off Indicator,Main Valve Open Indicator,Main Valve Closed Indicator,Load Cell 1 - Veh Gross Weight,Load Cell 2 - - Veh Gross Weight,Not Used,Not Used,,,,,,,,,TC1,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC10,TC11,TC12,TC13,TC14,Relay1,Relay2,Relay3,Relay4,Relay5,Relay6,Relay7,Relay8,Relay9,Relay10,Relay11,Relay12,Relay13,Relay14,Relay15,Relay16,Manual/Auto (1=Auto),
79.951,-1.53,2.08,-8.67,0.00,-1.03,0.00,-3.25,95.67,20.87,-1.12,0.00,0.00,0.00,0.00,0.00,0.00,5.09,5.09,1.28,4.78,966.99,-2.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33.09 °C,33.00 °C,33.09 °C,33.00 °C,33.09 °C,32.90 °C,33.09 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
80.951,-1.46,2.08,-8.67,0.00,-1.03,0.00,-3.25,95.67,20.87,-1.17,0.00,0.00,0.00,0.00,0.00,0.00,5.09,5.09,1.29,4.78,966.99,-2.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33.00 °C,33.00 °C,33.09 °C,33.00 °C,33.09 °C,32.90 °C,33.09 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
81.951,-1.53,2.08,-8.67,0.00,-1.03,0.00,-3.25,95.67,20.87,-1.12,0.00,0.00,0.00,0.00,0.00,0.00,5.09,5.09,1.29,4.78,966.99,-2.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33.09 °C,33.00 °C,33.09 °C,33.00 °C,33.09 °C,33.00 °C,33.09 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
82.951,-1.53,2.08,-8.72,0.00,-1.03,0.00,-3.25,95.54,20.87,-1.12,0.00,0.00,0.00,0.00,0.00,0.00,5.09,5.09,1.29,4.78,966.99,-2.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33.00 °C,33.00 °C,33.09 °C,33.00 °C,33.09 °C,33.00 °C,33.09 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
83.951,-1.53,2.08,-8.63,0.00,-1.03,0.00,-3.34,95.54,20.87,-1.12,0.00,0.00,0.00,0.00,0.00,0.00,5.09,5.09,1.28,4.78,1043.28,-2.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33.09 °C,33.00 °C,33.09 °C,33.00 °C,33.09 °C,33.00 °C,33.09 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
84.951,-1.46,2.08,-6.18,0.00,-1.03,0.00,-3.25,95.54,20.87,-1.12,0.00,0.00,0.00,0.00,0.00,0.00,5.09,5.09,1.32,4.78,1043.28,-2.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33.09 °C,33.00 °C,33.09 °C,33.00 °C,33.09 °C,33.00 °C,33.09 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
85.951,-1.53,2.08,-6.68,0.00,-1.03,0.00,-3.25,95.67,20.87,-1.12,0.00,0.00,0.00,0.00,0.00,0.00,5.09,5.09,1.29,4.78,1043.28,-2.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33.00 °C,32.90 °C,33.09 °C,33.00 °C,33.00 °C,33.00 °C,33.09 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
86.951,-1.53,2.08,-6.87,0.00,-1.03,0.00,-3.25,95.67,20.83,-1.12,0.00,0.00,0.00,0.00,0.00,0.00,5.09,5.09,1.28,4.78,1043.28,-2.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33.09 °C,32.90 °C,33.09 °C,33.00 °C,33.09 °C,33.00 °C,33.09 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
87.951,-1.46,2.08,-7.07,0.00,-1.03,0.00,-3.25,95.54,20.87,-1.12,0.00,0.00,0.00,0.00,0.00,0.00,5.09,5.09,1.29,4.78,1043.28,-2.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33.00 °C,33.00 °C,33.09 °C,33.00 °C,33.00 °C,32.90 °C,33.09 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
88.951,-1.46,2.08,-7.28,0.00,-0.98,0.00,-3.25,95.54,20.83,-1.12,0.00,0.00,0.00,0.00,0.00,0.00,5.09,5.09,1.29,4.78,1043.28,-2.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33.00 °C,33.09 °C,33.09 °C,33.00 °C,33.09 °C,33.00 °C,33.09 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
