Time (s),P2 - LOX Tank Pressure,P3 - Fuel Tank Pressure,P1 - Chamber Pressure,Not Used,P5- DOME Reg.,Not Use,P4- High Pressure Tank,P7 - Gnd High Pressure,P6 - GHE Fill Pressure,P8 - Pneumatics Pressure,Not Used,Not Used,Not Used,Not Used,Not Used,Not Used,QD Sep Indication,Lift Off Indicator,Main Valve Open Indicator,Main Valve Closed Indicator,Load Cell 1 - Veh Gross Weight,Load Cell 2 - - Veh Gross Weight,Not Used,Not Used,,,,,,,,,TC1,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC10,TC11,TC12,TC13,TC14,Relay1,Relay2,Relay3,Relay4,Relay5,Relay6,Relay7,Relay8,Relay9,Relay10,Relay11,Relay12,Relay13,Relay14,Relay15,Relay16,Manual/Auto (1=Auto),
45.947,-1.72,0.87,0.62,0.00,-11.38,0.00,-22.43,-19.13,4.62,-2.22,0.00,0.00,0.00,0.00,0.00,0.00,5.10,0.01,0.88,0.84,7.76,-2.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,24.30 °C,28.79 °C,28.89 °C,28.79 °C,28.89 °C,28.79 °C,28.89 °C,1369.68 °C,28.17 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
46.948,-1.72,0.87,0.62,0.00,-11.97,0.00,-22.57,-19.13,4.58,-2.22,0.00,0.00,0.00,0.00,0.00,0.00,5.10,0.01,0.88,0.84,7.76,-2.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,24.30 °C,28.89 °C,28.89 °C,28.89 °C,28.89 °C,28.59 °C,29.20 °C,1369.68 °C,28.17 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
47.948,-1.72,0.87,0.62,0.00,-12.22,0.00,-22.66,-19.13,4.58,-2.22,0.00,0.00,0.00,0.00,0.00,0.00,5.10,0.01,0.88,0.84,15.39,-2.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,24.30 °C,28.89 °C,29.00 °C,28.89 °C,28.89 °C,28.79 °C,28.89 °C,1369.68 °C,28.17 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
48.949,-1.76,0.87,0.57,0.00,-12.27,0.00,-22.43,-18.95,4.53,-2.17,0.00,0.00,0.00,0.00,0.00,0.00,5.10,0.01,0.88,0.84,23.02,-2.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,24.30 °C,28.89 °C,28.89 °C,28.69 °C,28.89 °C,28.79 °C,28.89 °C,1369.68 °C,28.59 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
49.949,-1.72,0.87,0.57,0.00,-12.43,0.00,-22.34,-18.86,4.53,-2.17,0.00,0.00,0.00,0.00,0.00,0.00,5.10,0.01,0.88,0.84,23.02,-2.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,24.89 °C,28.79 °C,28.89 °C,28.89 °C,29.00 °C,28.79 °C,28.89 °C,1369.68 °C,29.18 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
50.949,-1.72,0.87,0.57,0.00,-12.77,0.00,-22.43,-18.86,4.53,-2.17,0.00,0.00,0.00,0.00,0.00,0.00,5.10,0.01,0.88,0.84,23.02,-2.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,26.20 °C,28.79 °C,28.89 °C,28.79 °C,28.89 °C,28.79 °C,28.89 °C,1369.68 °C,29.57 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
51.949,-1.72,0.87,0.57,0.00,-12.86,0.00,-22.57,-18.95,4.53,-2.17,0.00,0.00,0.00,0.00,0.00,0.00,5.10,0.01,0.88,0.84,33.19,-2.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,27.49 °C,28.89 °C,28.89 °C,28.69 °C,28.89 °C,28.79 °C,28.89 °C,1369.68 °C,29.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
52.949,-1.72,0.87,0.57,0.00,-12.93,0.00,-22.57,-19.04,4.58,-2.17,0.00,0.00,0.00,0.00,0.00,0.00,5.10,0.01,0.88,0.84,33.19,-2.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,27.89 °C,28.79 °C,28.89 °C,28.79 °C,28.89 °C,28.89 °C,28.89 °C,1369.68 °C,30.08 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
53.950,-1.72,0.87,0.57,0.00,-12.86,0.00,-22.16,-18.77,4.49,-2.17,0.00,0.00,0.00,0.00,0.00,0.00,5.10,0.01,0.88,0.84,33.19,-2.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,28.30 °C,28.59 °C,28.69 °C,28.79 °C,28.89 °C,28.79 °C,28.89 °C,1369.68 °C,30.28 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
54.950,-1.72,0.87,-0.11,0.00,-13.78,0.00,-23.53,-20.05,4.49,-2.17,0.00,0.00,0.00,0.00,0.00,0.00,5.10,0.01,0.80,0.78,33.19,-2.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,28.69 °C,29.00 °C,28.79 °C,28.89 °C,28.89 °C,28.89 °C,28.89 °C,1369.68 °C,30.39 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
