Time (s),MV FUEL PT,MV FUEL PT,P1 - Chamber Pressure,Not Used,High Press,Not Use,Load Cell,CHAMBER,P6 - GHE Fill Pressure,P8 - Pneumatics Pressure,Not Used,Not Used,Not Used,Not Used,Not Used,Not Used,QD Sep Indication,Lift Off Indicator,Main Valve Open Indicator,Main Valve Closed Indicator,Load Cell 1 - Veh Gross Weight,Load Cell 2 - - Veh Gross Weight,Not Used,Not Used,LOX TANK SFT ,FUEL TANK SFT ,DOME SET SFT,,,,,,TC1,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC10,TC11,TC12,TC13,TC14,Relay1,Relay2,Relay3,Relay4,Relay5,Relay6,Relay7,Relay8,Relay9,Relay10,Relay11,Relay12,Relay13,Relay14,Relay15,Relay16,Manual/Auto (1=Auto),
2267.372,-1.03,8.58,-4.37,0.00,2.74,0.00,-4.07,-1.92,-1.83,-1.37,0.00,0.00,0.00,0.00,0.00,0.00,5.11,5.11,1.74,1.69,0.13,-2.48,0.00,0.00,159.00,7.21,4.73,0.00,0.00,0.00,0.00,0.00,30.49 °C,30.49 °C,30.49 °C,30.59 °C,30.59 °C,30.49 °C,30.59 °C,33.08 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
2268.372,-0.98,8.54,-4.17,0.00,2.74,0.00,-4.26,-1.88,-1.83,-1.42,0.00,0.00,0.00,0.00,0.00,0.00,5.11,5.10,1.74,1.69,0.13,-2.48,0.00,0.00,160.73,7.21,4.73,0.00,0.00,0.00,0.00,0.00,30.49 °C,30.49 °C,30.59 °C,30.49 °C,30.49 °C,30.49 °C,30.59 °C,33.08 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
2269.372,-1.03,8.54,-3.87,0.00,2.74,0.00,-4.26,-1.88,-1.83,-1.33,0.00,0.00,0.00,0.00,0.00,0.00,5.11,5.11,1.73,1.69,0.13,-2.48,0.00,0.00,161.48,7.21,4.73,0.00,0.00,0.00,0.00,0.00,30.49 °C,30.59 °C,30.49 °C,30.49 °C,30.69 °C,30.49 °C,30.49 °C,33.08 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
2270.372,-1.03,8.54,-3.91,0.00,2.74,0.00,-4.26,-1.92,-1.83,-1.33,0.00,0.00,0.00,0.00,0.00,0.00,5.11,5.10,1.74,1.69,0.13,-2.48,0.00,0.00,162.46,7.21,4.73,0.00,0.00,0.00,0.00,0.00,30.49 °C,30.49 °C,30.59 °C,30.49 °C,30.69 °C,30.49 °C,30.59 °C,33.08 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
2271.373,-1.03,8.54,-3.62,0.00,2.74,0.00,-4.14,-1.92,-1.83,-1.33,0.00,0.00,0.00,0.00,0.00,0.00,5.11,5.10,1.74,1.69,0.13,-2.48,0.00,0.00,163.13,7.21,4.73,0.00,0.00,0.00,0.00,0.00,30.49 °C,30.49 °C,30.49 °C,30.49 °C,30.49 °C,30.49 °C,30.59 °C,33.08 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
2272.374,-1.03,8.54,-3.62,0.00,2.74,0.00,-4.26,-1.92,-1.88,-1.21,0.00,0.00,0.00,0.00,0.00,0.00,5.10,5.11,1.73,1.69,-43.10,-2.48,0.00,0.00,163.88,7.21,4.73,0.00,0.00,0.00,0.00,0.00,30.49 °C,30.49 °C,30.39 °C,30.39 °C,30.49 °C,30.49 °C,30.49 °C,33.08 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
2273.374,-0.98,8.54,-3.57,0.00,2.74,0.00,-4.33,-1.88,-1.88,-1.33,0.00,0.00,0.00,0.00,0.00,0.00,5.11,5.11,1.73,1.69,-43.10,-2.48,0.00,0.00,164.18,7.44,4.73,0.00,0.00,0.00,0.00,0.00,30.49 °C,30.49 °C,30.59 °C,30.49 °C,30.59 °C,30.49 °C,30.59 °C,33.08 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
2274.374,-0.98,8.54,-3.43,0.00,2.74,0.00,-4.33,-1.92,-1.83,-1.37,0.00,0.00,0.00,0.00,0.00,0.00,5.11,5.11,1.73,1.69,-32.93,-2.48,0.00,0.00,165.61,7.21,4.73,0.00,0.00,0.00,0.00,0.00,30.49 °C,30.49 °C,30.59 °C,30.49 °C,30.59 °C,30.49 °C,30.59 °C,33.08 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
2275.374,-0.98,8.58,-3.32,0.00,2.74,0.00,-4.26,-1.92,-1.88,-1.46,0.00,0.00,0.00,0.00,0.00,0.00,5.10,5.11,1.73,1.69,-32.93,-2.48,0.00,0.00,166.14,7.21,4.73,0.00,0.00,0.00,0.00,0.00,30.49 °C,30.49 °C,30.49 °C,30.39 °C,30.59 °C,30.49 °C,30.59 °C,33.08 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
2276.374,-0.98,8.54,-3.27,0.00,2.74,0.00,-4.26,-1.92,-1.88,-1.46,0.00,0.00,0.00,0.00,0.00,0.00,5.10,5.10,1.74,1.69,-25.30,-2.48,0.00,0.00,166.36,7.44,4.73,0.00,0.00,0.00,0.00,0.00,30.49 °C,30.49 °C,30.59 °C,30.49 °C,30.69 °C,30.49 °C,30.59 °C,33.08 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
