Time (s),P2 - LOX Tank Pressure,P3 - Fuel Tank Pressure,P1 - Chamber Pressure,Not Used,P5- DOME Reg.,Not Use,Load Cell,P7 - Gnd High Pressure,P6 - GHE Fill Pressure,P8 - Pneumatics Pressure,Not Used,Not Used,Not Used,Not Used,Not Used,Not Used,QD Sep Indication,Lift Off Indicator,Main Valve Open Indicator,Main Valve Closed Indicator,Load Cell 1 - Veh Gross Weight,Load Cell 2 - - Veh Gross Weight,Not Used,Not Used,High Press PT,,,,,,,,TC1,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC10,TC11,TC12,TC13,TC14,Relay1,Relay2,Relay3,Relay4,Relay5,Relay6,Relay7,Relay8,Relay9,Relay10,Relay11,Relay12,Relay13,Relay14,Relay15,Relay16,Manual/Auto (1=Auto),
63.090,10.23,-9.73,-14.67,0.00,-15.38,0.00,139.20,-31.54,-1.37,102.22,0.00,0.00,0.00,0.00,0.00,0.00,5.10,0.00,1.50,0.93,-32.93,-2.48,0.00,0.00,-2.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-100.00 °C,-100.00 °C,38.69 °C,-100.00 °C,36.80 °C,36.60 °C,36.70 °C,13.88 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
64.090,10.44,-9.73,-14.53,0.00,-14.42,0.00,141.63,-31.27,-1.37,102.26,0.00,0.00,0.00,0.00,0.00,0.00,5.10,0.00,1.50,0.93,-25.30,-2.48,0.00,0.00,-2.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-100.00 °C,-100.00 °C,35.39 °C,-100.00 °C,37.40 °C,36.60 °C,36.70 °C,13.79 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
65.091,10.53,-9.73,-14.63,0.00,-15.93,0.00,138.29,-31.27,-1.37,102.26,0.00,0.00,0.00,0.00,0.00,0.00,5.10,0.00,1.50,0.93,-10.04,-2.48,0.00,0.00,-3.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-100.00 °C,-100.00 °C,35.89 °C,-100.00 °C,36.60 °C,36.60 °C,36.70 °C,13.88 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
66.092,10.62,-9.73,-14.76,0.00,-16.57,0.00,141.36,-31.45,-1.33,102.22,0.00,0.00,0.00,0.00,0.00,0.00,5.10,0.00,1.50,0.93,0.13,-2.48,0.00,0.00,-4.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-100.00 °C,-100.00 °C,37.89 °C,-100.00 °C,36.09 °C,36.60 °C,36.70 °C,13.79 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
67.093,10.99,-9.73,-14.83,0.00,-17.21,0.00,141.02,-31.63,-1.37,102.26,0.00,0.00,0.00,0.00,0.00,0.00,5.10,0.00,1.50,0.93,0.13,-2.48,0.00,0.00,-2.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-100.00 °C,-100.00 °C,37.09 °C,-100.00 °C,36.80 °C,36.60 °C,36.70 °C,13.79 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
68.093,11.08,-9.73,-14.88,0.00,-16.98,0.00,141.13,-31.54,-1.33,102.22,0.00,0.00,0.00,0.00,0.00,0.00,5.10,0.00,1.50,0.93,7.76,-2.48,0.00,0.00,-6.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-100.00 °C,-100.00 °C,37.50 °C,-100.00 °C,36.60 °C,36.60 °C,36.70 °C,13.79 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
69.094,11.24,-9.73,-14.88,0.00,-15.72,0.00,139.31,-31.54,-1.33,102.26,0.00,0.00,0.00,0.00,0.00,0.00,5.10,0.00,1.50,0.93,15.39,-2.48,0.00,0.00,-4.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-100.00 °C,-100.00 °C,35.49 °C,-100.00 °C,36.89 °C,36.60 °C,36.70 °C,13.79 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
70.094,11.38,-9.73,-14.88,0.00,-15.98,0.00,138.63,-31.72,-1.37,102.26,0.00,0.00,0.00,0.00,0.00,0.00,5.10,0.00,1.50,0.93,15.39,-2.48,0.00,0.00,-6.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-100.00 °C,-100.00 °C,35.39 °C,-100.00 °C,36.80 °C,36.60 °C,36.70 °C,13.69 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
71.094,11.79,-9.73,-14.92,0.00,-16.07,0.00,150.25,-31.72,-1.33,102.26,0.00,0.00,0.00,0.00,0.00,0.00,5.10,0.00,1.50,0.93,15.39,-2.48,0.00,0.00,-4.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-100.00 °C,-100.00 °C,36.60 °C,-100.00 °C,36.80 °C,36.60 °C,36.70 °C,13.69 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
72.094,11.92,-9.73,-14.83,0.00,-15.63,0.00,140.45,-31.72,-1.37,102.26,0.00,0.00,0.00,0.00,0.00,0.00,5.10,0.00,1.50,0.93,23.02,-2.48,0.00,0.00,-2.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-100.00 °C,-100.00 °C,36.99 °C,-100.00 °C,36.70 °C,36.60 °C,36.70 °C,13.69 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
