Time (s),MV FUEL PT,MV FUEL PT,P1 - Chamber Pressure,Not Used,High Press,Not Use,Load Cell,CHAMBER,P6 - GHE Fill Pressure,P8 - Pneumatics Pressure,Not Used,Not Used,Not Used,Not Used,Not Used,Not Used,QD Sep Indication,Lift Off Indicator,Main Valve Open Indicator,Main Valve Closed Indicator,Load Cell 1 - Veh Gross Weight,Load Cell 2 - - Veh Gross Weight,Not Used,Not Used,LOX TANK SFT ,FUEL TANK SFT ,DOME SET SFT,,,,,,TC1,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC10,TC11,TC12,TC13,TC14,Relay1,Relay2,Relay3,Relay4,Relay5,Relay6,Relay7,Relay8,Relay9,Relay10,Relay11,Relay12,Relay13,Relay14,Relay15,Relay16,Manual/Auto (1=Auto),
71.403,-1.03,8.22,-0.02,0.00,-1.84,0.00,-7.41,-1.53,0.98,-0.57,0.00,0.00,0.00,0.00,0.00,0.00,5.10,5.10,1.70,1.65,0.13,-2.48,0.00,0.00,68.69,61.11,3.01,0.00,0.00,0.00,0.00,0.00,30.79 °C,30.79 °C,30.79 °C,30.69 °C,30.79 °C,30.69 °C,30.79 °C,22.78 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
72.403,-1.03,8.22,-0.02,0.00,-1.84,0.00,-7.29,-1.53,0.87,-0.37,0.00,0.00,0.00,0.00,0.00,0.00,5.10,5.10,1.70,1.65,0.13,-2.48,0.00,0.00,68.47,61.11,3.01,0.00,0.00,0.00,0.00,0.00,30.79 °C,30.79 °C,30.79 °C,30.90 °C,31.00 °C,30.79 °C,30.79 °C,22.89 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
73.404,-1.03,8.17,0.14,0.00,-1.84,0.00,-7.64,-1.53,0.94,-0.53,0.00,0.00,0.00,0.00,0.00,0.00,5.10,5.10,1.70,1.66,0.13,-2.48,0.00,0.00,68.47,61.11,2.78,0.00,0.00,0.00,0.00,0.00,30.79 °C,30.69 °C,30.79 °C,30.79 °C,30.90 °C,30.79 °C,30.79 °C,22.78 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
74.405,-1.03,8.22,0.37,0.00,-1.84,0.00,-7.64,-1.53,0.14,-1.03,0.00,0.00,0.00,0.00,0.00,0.00,5.10,5.10,1.83,1.78,0.13,-2.48,0.00,0.00,68.47,61.34,3.01,0.00,0.00,0.00,0.00,0.00,30.79 °C,30.69 °C,30.79 °C,30.69 °C,30.79 °C,30.79 °C,30.79 °C,22.78 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
75.405,-1.03,8.22,0.32,0.00,-1.84,0.00,-8.32,-1.58,0.18,-0.11,0.00,0.00,0.00,0.00,0.00,0.00,5.10,5.10,1.82,1.77,0.13,-2.48,0.00,0.00,68.24,61.34,3.01,0.00,0.00,0.00,0.00,0.00,30.79 °C,30.69 °C,30.79 °C,30.69 °C,31.00 °C,30.69 °C,30.79 °C,22.78 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
76.406,-1.03,8.17,0.37,0.00,-1.84,0.00,-8.40,-1.58,0.23,-0.87,0.00,0.00,0.00,0.00,0.00,0.00,5.10,5.10,1.81,1.76,0.13,-2.48,0.00,0.00,68.24,61.34,3.01,0.00,0.00,0.00,0.00,0.00,30.69 °C,30.69 °C,30.79 °C,30.69 °C,30.90 °C,30.69 °C,30.79 °C,22.78 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
77.407,-1.03,8.22,0.32,0.00,-1.84,0.00,-8.40,-1.58,0.32,-1.03,0.00,0.00,0.00,0.00,0.00,0.00,5.10,5.10,1.80,1.75,0.13,-2.48,0.00,0.00,68.24,61.56,3.01,0.00,0.00,0.00,0.00,0.00,30.79 °C,30.69 °C,30.79 °C,30.69 °C,30.90 °C,30.69 °C,30.79 °C,22.78 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
78.407,-0.98,8.22,0.43,0.00,-1.84,0.00,-8.40,-1.58,0.32,-0.57,0.00,0.00,0.00,0.00,0.00,0.00,5.10,5.10,1.79,1.74,0.13,-2.48,0.00,0.00,67.94,61.56,3.01,0.00,0.00,0.00,0.00,0.00,30.79 °C,30.69 °C,30.90 °C,30.69 °C,30.90 °C,30.69 °C,30.79 °C,22.78 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
79.408,-1.03,8.22,0.43,0.00,-1.84,0.00,-8.47,-1.53,0.32,-1.17,0.00,0.00,0.00,0.00,0.00,0.00,5.10,5.10,1.78,1.73,0.13,-2.48,0.00,0.00,67.94,61.56,3.01,0.00,0.00,0.00,0.00,0.00,30.69 °C,30.69 °C,30.79 °C,30.69 °C,31.00 °C,30.69 °C,30.79 °C,22.89 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
80.410,-0.98,8.22,0.32,0.00,-1.84,0.00,-8.05,-1.58,0.37,-0.73,0.00,0.00,0.00,0.00,0.00,0.00,5.10,5.10,1.78,1.73,0.13,-2.48,0.00,0.00,67.94,61.56,3.01,0.00,0.00,0.00,0.00,0.00,30.79 °C,30.69 °C,30.79 °C,30.69 °C,30.79 °C,30.69 °C,30.79 °C,22.78 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
